,index,Suburb,Rooms,Type,Price,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Propertycount,distance_group,Date_Month,airbnb_price_mean
129,129,Alphington,3,h,1540000.0,6.4,3078.0,1.0,2.0,592.0,,,Darebin,-37.7755,145.0288,2211.0,"(0, 10]",2016-04-01,111.20270270270271
130,130,Alphington,2,u,820000.0,6.4,3078.0,1.0,1.0,183.0,,,Darebin,-37.7747,145.0264,2211.0,"(0, 10]",2017-03-01,111.20270270270271
131,131,Alphington,4,h,1830000.0,6.4,3078.0,2.0,2.0,606.0,112.0,1970.0,Darebin,-37.7743,145.0316,2211.0,"(0, 10]",2016-11-01,111.20270270270271
132,132,Alphington,4,h,2100000.0,6.4,3078.0,2.0,2.0,575.0,271.0,2008.0,Darebin,-37.7723,145.0319,2211.0,"(0, 10]",2016-11-01,111.20270270270271
133,133,Alphington,3,h,865000.0,6.4,3078.0,1.0,1.0,180.0,131.0,2010.0,Darebin,-37.7802,145.0243,2211.0,"(0, 10]",2016-05-01,111.20270270270271
134,134,Alphington,2,u,390000.0,6.4,3078.0,1.0,1.0,0.0,60.0,1960.0,Darebin,-37.7773,145.0314,2211.0,"(0, 10]",2016-05-01,111.20270270270271
135,135,Alphington,2,t,650000.0,6.4,3078.0,1.0,0.0,0.0,,,Yarra,-37.7848,145.025,2211.0,"(0, 10]",2016-09-01,111.20270270270271
136,136,Alphington,2,u,512000.0,6.4,3078.0,1.0,1.0,0.0,61.0,1965.0,Darebin,-37.7805,145.0262,2211.0,"(0, 10]",2017-02-01,111.20270270270271
137,137,Alphington,3,h,1165000.0,6.4,3078.0,1.0,2.0,979.0,,,Yarra,-37.7792,145.029,2211.0,"(0, 10]",2016-06-01,111.20270270270271
138,138,Alphington,4,h,1900000.0,6.4,3078.0,2.0,2.0,556.0,272.0,1930.0,Yarra,-37.7844,145.0225,2211.0,"(0, 10]",2016-11-01,111.20270270270271
139,139,Alphington,3,h,1485000.0,6.4,3078.0,1.0,0.0,597.0,,,Darebin,-37.7781,145.0284,2211.0,"(0, 10]",2016-08-01,111.20270270270271
140,140,Alphington,4,h,1950000.0,6.4,3078.0,2.0,3.0,589.0,210.0,1920.0,Darebin,-37.7719,145.0309,2211.0,"(0, 10]",2016-07-01,111.20270270270271
141,141,Altona,3,h,520000.0,13.8,3018.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay,-37.87,144.825,5301.0,"(10, 20]",2016-03-01,85.62162162162163
142,142,Altona,5,h,1525000.0,13.8,3018.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay,-37.8721,144.8105,5301.0,"(10, 20]",2016-03-01,85.62162162162163
143,143,Altona,2,t,720000.0,13.8,3018.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,-37.8687,144.8197,5301.0,"(10, 20]",2016-04-01,85.62162162162163
144,144,Altona,3,h,1120000.0,13.8,3018.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,-37.8693,144.8375,5301.0,"(10, 20]",2017-04-01,85.62162162162163
145,145,Altona,4,h,780000.0,13.8,3018.0,1.0,4.0,655.0,,,Hobsons Bay,-37.868,144.8154,5301.0,"(10, 20]",2016-04-01,85.62162162162163
146,146,Altona,4,h,1780000.0,13.8,3018.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay,-37.8681,144.819,5301.0,"(10, 20]",2016-04-01,85.62162162162163
147,147,Altona,3,u,630000.0,13.8,3018.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay,-37.8702,144.8143,5301.0,"(10, 20]",2016-06-01,85.62162162162163
148,148,Altona,2,u,406000.0,13.8,3018.0,1.0,1.0,65.0,,,Hobsons Bay,-37.8693,144.8171,5301.0,"(10, 20]",2016-06-01,85.62162162162163
